"tract","Name","Median_Hhold._Income_of_Residents_in_2012-16"
48201333500,"Glenbrook Valley, Houston, TX",36278
22015010602,"Bossier City, LA",36192
26081014701,"Grand Rapids, MI",36177
6017030302,"Al Tahoe, South Lake Tahoe, CA",36045
26163503600,"Osborn, Detroit, MI",36004
6065043316,"Hemet, CA",35969
48355002704,"Bay Area, Corpus Christi, TX",35651
8123001201,"Greeley, CO",35625
13143010301,"Bremen, GA",35598
47171080400,"Erwin, TN",35588
12086009904,"Miami Gardens, FL",35509
48201312900,"MacGregor, Houston, TX",35446
1043965700,"Bremen, AL",35425
6019002200,"Tower District, Fresno, CA",35340
53049950200,"Raymond, WA",35140
40107080700,"Paden, OK",35140
36025970600,"Walton, NY",34564
32003002504,"Las Vegas, NV",34514
24510200800,"Irvington, Baltimore, MD",34451
47123925400,"Madisonville, TN",34328
48139060400,"Waxahachie, TX",34136
26075000400,"Jackson, MI",34026
37051001800,"Douglas Byrd, Fayetteville, NC",33805
25027709400,"Leominster, MA",33695
17097862800,"North Chicago, IL",33639
42111021902,"Confluence, PA",33432
45083023700,"Enoree, SC",33419
20177002800,"Topeka, KS",33190
36005039902,"Bronx County, NY",32815
27109000500,"Kutzky Park, Rochester, MN",32665
1107050100,"Reform, AL",32656
29095013208,"Crossgates, Kansas City, MO",32613
29015460800,"Warsaw, MO",32575
22033003505,"Baton Rouge, LA",32398
47157020621,"Memphis, TN",32087
47049965200,"Jamestown, TN",32079
33017080203,"Durham, NH",32007
54055001700,"Bluefield, WV",31943
1015001201,"Oxford, AL",31818
28017950200,"New Houlka, MS",31791
47065012400,"Martin Luther King, Chattanooga, TN",31683
28095950502,"Aberdeen, MS",31632
28011950500,"Cleveland, MS",31446
18089041100,"Gary, IN",31436
36045061400,"Watertown, NY",31435
48201212400,"Northeast Houston, Houston, TX",31066
37067003701,"Winston-Salem, NC",30920
54015958100,"Lizemores, WV",30891
48141003402,"Valley View Heights, El Paso, TX",30840
37171930801,"Lowgap, NC",30749
55067960600,"Antigo, WI",30707
36055011603,"Rochester, NY",30602
